웨이퍼ID,검사일,라인,챔버온도,챔버압력,증착두께,세정농도,파티클수,판정
WF-0001,2026-09-01,1라인,65.3,4.51,96.3,0.72,14,합격
WF-0002,2026-09-01,2라인,71.1,3.16,93.4,1.0,27,합격
WF-0003,2026-09-01,3라인,64.2,2.93,99.1,0.76,50,합격
WF-0004,2026-09-01,1라인,66.1,4.1,94.4,0.83,10,합격
WF-0005,2026-09-01,2라인,64.6,4.31,98.0,0.91,0,합격
WF-0006,2026-09-01,3라인,65.3,3.95,96.5,1.34,14,합격
WF-0007,2026-09-01,1라인,67.2,4.63,98.9,1.05,42,불합격
WF-0008,2026-09-01,2라인,71.4,2.99,99.7,0.9,5,불합격
WF-0009,2026-09-01,3라인,69.6,3.06,93.0,1.35,7,불합격
WF-0010,2026-09-01,1라인,66.5,4.58,100.7,0.53,24,불합격
WF-0011,2026-09-01,2라인,65.0,4.42,97.0,0.81,26,합격
WF-0012,2026-09-01,3라인,66.3,2.89,93.8,1.0,7,합격
WF-0013,2026-09-01,1라인,65.0,3.68,97.2,1.02,8,합격
WF-0014,2026-09-01,2라인,64.2,4.43,99.1,1.12,10,합격
WF-0015,2026-09-01,3라인,66.0,4.25,94.8,1.03,7,합격
WF-0016,2026-09-01,1라인,64.3,4.39,98.8,1.32,0,합격
WF-0017,2026-09-01,2라인,70.8,3.24,94.1,1.24,26,합격
WF-0018,2026-09-01,3라인,67.2,4.21,98.9,0.91,7,불합격
WF-0019,2026-09-01,1라인,65.1,4.77,96.8,1.45,39,합격
WF-0020,2026-09-01,2라인,60.0,3.36,109.2,1.24,17,합격
WF-0021,2026-09-01,3라인,70.8,4.66,90.1,1.4,25,불합격
WF-0022,2026-09-01,1라인,66.2,4.58,101.2,0.97,17,불합격
WF-0023,2026-09-01,2라인,65.2,4.1,96.6,1.15,0,합격
WF-0024,2026-09-01,3라인,67.1,3.9,99.1,0.71,36,불합격
WF-0025,2026-09-01,1라인,71.1,4.3,93.4,1.33,3,합격
WF-0026,2026-09-01,2라인,64.3,4.51,98.7,0.88,11,합격
WF-0027,2026-09-01,3라인,67.1,4.34,99.2,0.88,9,불합격
WF-0028,2026-09-01,1라인,64.3,4.53,98.7,1.14,21,합격
WF-0029,2026-09-01,2라인,64.2,4.46,99.0,1.12,6,합격
WF-0030,2026-09-01,3라인,65.2,4.12,96.6,1.1,6,합격
WF-0031,2026-09-01,1라인,64.2,4.51,98.9,1.11,13,합격
WF-0032,2026-09-01,2라인,67.0,2.68,103.3,1.25,9,합격
WF-0033,2026-09-01,3라인,62.5,2.98,103.2,1.37,6,합격
WF-0034,2026-09-01,1라인,65.6,4.08,95.8,1.3,14,합격
WF-0035,2026-09-01,2라인,64.8,3.86,97.6,0.99,10,합격
WF-0036,2026-09-01,3라인,67.0,4.7,92.2,1.34,3,합격
WF-0037,2026-09-01,1라인,65.2,4.59,96.7,0.88,9,합격
WF-0038,2026-09-01,2라인,71.0,4.57,93.7,1.24,5,합격
WF-0039,2026-09-01,3라인,65.7,3.2,95.3,1.08,5,합격
WF-0040,2026-09-01,1라인,60.9,8.19,107.1,0.88,39,합격
WF-0041,2026-09-01,2라인,64.6,3.06,98.1,0.93,4,합격
WF-0042,2026-09-01,3라인,68.9,4.05,105.8,1.27,13,불합격
WF-0043,2026-09-01,1라인,64.0,4.07,99.6,1.23,25,합격
WF-0044,2026-09-02,2라인,64.5,4.4,98.3,1.31,11,합격
WF-0045,2026-09-02,3라인,67.5,4.73,102.1,0.89,14,합격
WF-0046,2026-09-02,1라인,70.5,4.36,94.8,0.89,4,합격
WF-0047,2026-09-02,2라인,64.0,4.38,99.4,1.71,18,합격
WF-0048,2026-09-02,3라인,65.2,3.76,96.7,1.47,2,합격
WF-0049,2026-09-02,1라인,64.9,3.14,97.3,1.32,9,합격
WF-0050,2026-09-02,2라인,65.8,4.38,95.1,1.46,14,합격
WF-0051,2026-09-02,3라인,65.8,2.95,95.0,1.14,3,합격
WF-0052,2026-09-02,1라인,67.5,4.31,98.1,1.05,11,불합격
WF-0053,2026-09-02,2라인,65.8,4.09,95.1,1.43,17,합격
WF-0054,2026-09-02,3라인,66.7,4.43,103.9,1.22,3,합격
WF-0055,2026-09-02,1라인,65.6,3.9,95.6,1.34,14,합격
WF-0056,2026-09-02,2라인,64.8,4.52,97.5,1.19,0,합격
WF-0057,2026-09-02,3라인,64.4,2.96,98.5,1.33,0,합격
WF-0058,2026-09-02,1라인,65.1,2.94,96.8,0.94,0,합격
WF-0059,2026-09-02,2라인,67.0,2.36,103.2,1.3,10,합격
WF-0060,2026-09-02,3라인,65.6,4.22,95.7,1.43,5,합격
WF-0061,2026-09-02,1라인,73.4,4.29,94.8,1.08,10,불합격
WF-0062,2026-09-02,2라인,66.1,4.69,95.3,0.98,23,합격
WF-0063,2026-09-02,3라인,67.2,4.03,102.9,0.9,9,합격
WF-0064,2026-09-02,1라인,64.5,3.28,98.3,1.18,28,합격
WF-0065,2026-09-02,2라인,63.7,3.96,100.2,1.34,3,합격
WF-0066,2026-09-02,3라인,63.7,4.07,100.2,1.61,9,합격
WF-0067,2026-09-02,1라인,68.2,3.86,96.4,1.5,5,불합격
WF-0068,2026-09-02,2라인,65.3,4.7,96.4,1.16,29,합격
WF-0069,2026-09-02,3라인,65.8,4.19,95.2,1.06,10,합격
WF-0070,2026-09-02,1라인,64.8,4.33,97.6,1.0,15,합격
WF-0071,2026-09-02,2라인,66.1,3.09,94.4,1.0,12,합격
WF-0072,2026-09-02,3라인,64.9,4.84,97.3,1.02,0,합격
WF-0073,2026-09-02,1라인,69.6,4.55,97.0,1.37,13,합격
WF-0074,2026-09-02,2라인,68.3,4.44,100.1,0.53,16,합격
WF-0075,2026-09-02,3라인,64.7,3.64,97.7,1.24,54,합격
WF-0076,2026-09-02,1라인,71.1,4.13,93.3,0.93,4,합격
WF-0077,2026-09-02,2라인,65.9,4.33,94.9,1.04,11,합격
WF-0078,2026-09-02,3라인,69.0,3.22,98.4,0.96,47,합격
WF-0079,2026-09-02,1라인,70.6,4.29,101.7,0.93,5,불합격
WF-0080,2026-09-02,2라인,63.9,4.69,99.6,1.27,11,합격
WF-0081,2026-09-02,3라인,65.6,4.57,95.7,0.89,36,합격
WF-0082,2026-09-02,1라인,64.6,3.15,98.0,1.24,5,합격
WF-0083,2026-09-02,2라인,64.5,4.02,98.3,1.09,0,합격
WF-0084,2026-09-02,3라인,64.8,4.21,97.6,1.64,3,합격
WF-0085,2026-09-02,1라인,64.2,4.58,99.0,1.1,3,합격
WF-0086,2026-09-03,2라인,70.6,2.81,94.5,0.96,7,합격
WF-0087,2026-09-03,3라인,65.2,3.08,96.5,1.48,3,합격
WF-0088,2026-09-03,1라인,64.6,4.24,98.1,1.66,4,합격
WF-0089,2026-09-03,2라인,63.5,4.66,100.6,1.1,0,합격
WF-0090,2026-09-03,3라인,63.9,3.25,99.7,0.72,15,합격
WF-0091,2026-09-03,1라인,64.8,3.83,97.6,0.74,10,합격
WF-0092,2026-09-03,2라인,64.1,4.49,99.2,1.28,12,합격
WF-0093,2026-09-03,3라인,68.4,4.18,95.9,1.34,7,불합격
WF-0094,2026-09-03,1라인,64.4,3.1,98.5,1.31,11,합격
WF-0095,2026-09-03,2라인,64.8,4.06,97.7,1.15,21,합격
WF-0096,2026-09-03,3라인,68.3,4.44,107.1,0.77,9,불합격
WF-0097,2026-09-03,1라인,69.9,2.86,96.3,0.89,4,합격
WF-0098,2026-09-03,2라인,64.8,3.29,97.6,1.42,10,합격
WF-0099,2026-09-03,3라인,68.9,4.66,98.6,1.03,17,합격
WF-0100,2026-09-03,1라인,65.0,4.28,97.1,1.42,8,합격
WF-0101,2026-09-03,2라인,63.4,4.29,101.1,1.29,7,합격
WF-0102,2026-09-03,3라인,64.1,4.39,99.3,1.05,11,합격
